Name,Description,Author,Comment,Size,Script: On Execute,Gadget,Slots,NEED TOTAL?,Colour,Upgrade,Weaken,Alternate Status Trigger,SFX,Uses?,Cast Backwards?,Single use?,Tags,Witch Spell,Script: Before Combat,Script: After Combat,Script: Before Start Turn,Script: On Start Turn,Script: On any equipment use,Script: On any countdown reduce,Script: End Turn,Script: Before execute,Script: On Snap,Script: On Fury,Script: On Dodge
Power Trip,Roll a dice|,CoolDude,,1,givedice(); bonus(-5000);,One More Roll,COUNTDOWN,6,CYAN,change_power,change_power,,,-1,NO,NO,,,,,,,,,,,,,
Power Trip_upgraded,Roll a dice|(Get a dice every turn)|,CoolDude,,1,givedice(); bonus(-5000);,One More Roll,COUNTDOWN,6,CYAN,,,,,-1,NO,NO,,,,,,givedice();,,,,,,,
Power Trip_downgraded,Roll a low dice (1-3)|,CoolDude,,1,givedice(rand([1|2|3])); bonus(-5000);,One More Roll,COUNTDOWN,6,CYAN,,,,,-1,NO,NO,,,,,,,,,,,,,
Chain Reaction,,CoolDude,Unimplemented?,2,,,,,PINK,,,,,0,NO,NO,,,,,,,,,,,,,
Mystery Shooter,Deal [sword]<d6> damage|[gray](Reusable),CoolDude,,2,attack(d);,Drunken Boxing,REQUIRE6,,RED,,,,,-1,NO,NO,,,,,e.animate(~flashandshake~); e.changeslots([~REQUIRE~ + pick([1|2|3|4|5|6])]);,,,,,,,,
Rusty Lamp,Get 3 dice|[gray](Reusable),CoolDude,,1,givedice(); givedice(); givedice(); bonus(1000);,Reroll,DOUBLES|DOUBLES,,YELLOW,,,,,3,YES,NO,,,,,,,,,,,,,
Rusty Lamp_upgraded,Get 4 dice|[gray](Reusable),CoolDude,,1,givedice(); givedice(); givedice(); givedice(); bonus(1000);,Reroll,DOUBLES|DOUBLES,,YELLOW,,,,,3,NO,NO,,,,,,,,,,,,,
Mystery Shooter_upgraded,Deal [sword]5 damage|[gray](Reusable),CoolDude,,2,attack(5);,Drunken Boxing,REQUIRE6,,RED,,,,,-1,NO,NO,,,,,e.animate(~flashandshake~); e.changeslots([~REQUIRE~ + pick([1|2|3|4|5|6])]);,,,,,,,,
Mystery Shooter_downgraded,Deal [sword]<d6> damage|[gray](Reusable),CoolDude,,2,attack(d);,Drunken Boxing,REQUIRE6,,RED,,,,,3,NO,NO,,,,,e.animate(~flashandshake~); e.changeslots([~REQUIRE~ + pick([1|2|3|4|5|6])]);,,,,,,,,
Rusty Lamp_downgraded,Get 2 dice|[gray](Reusable),CoolDude,,1,givedice(); givedice(); bonus(500);,Reroll,DOUBLES|DOUBLES,,YELLOW,,,,,3,NO,NO,,,,,,,,,,,,,
nullnull,Dice: 0 (length: 2)|Attempting to give nullnull|Oh no! What a bad roll!|Null Reference Error|Please report this to Jester or Lady Luck!,Trobby,Rolls a dice then on 2 inflicts error. Ascended bug. Witch got 0 from using d in 'on roll dice' script which gives 'nullnull',1,givedice(); if(d!=1) {inflict(~quickmod_error~); bonus(1000);},Author[comma]Comment,MAX2|SPARE1,,GRAY,,,,,0,NO,NO,,1,,,,,,,,,,,
The Modgeons Incident,???|,Trobby,Don't do modgeons kids. Inflicts quickmod error,2,inflict(~quickmod_error~); bonus(999999000);,Author[comma]Comment,COUNTDOWN,12,GRAY,change_power,change_power,,,0,NO,NO,,,,,,,,,,,,,
The Modgeons Incident_upgraded,???|,Trobby,Don't do modgeons kids. Inflicts quickmod error,2,inflict(~quickmod_error~); bonus(999999000);,Author[comma]Comment,COUNTDOWN,6,GRAY,,,,,0,NO,NO,,,,,,,,,,,,,
The Modgeons Incident_downgraded,???|,Trobby,Don't do modgeons kids. Inflicts quickmod error,2,inflict(~quickmod_error~); bonus(999999000);,Author[comma]Comment,COUNTDOWN,9,GRAY,,,,,0,NO,NO,,,,,,,,,,,,,
The Modgeons Incident_weakened,???|,Trobby,Don't do modgeons kids. Inflicts quickmod error,2,inflict(~quickmod_error~); bonus(999999000);,Author[comma]Comment,COUNTDOWN,3,GRAY,,,,,0,NO,NO,,,,,,,,,,,,,
Wheel of Fortune@tarot,Randomize everyone's HP|[80%][gray]Spin the wheel of destiny[],Trobby,HP funny,2,var possibleself = [];for(i in 1...self.maxhp+1) possibleself.push(i); self.hp = rand(possibleself); var possibletarget = [];for(i in 1...target.maxhp+1) possibletarget.push(i); target.hp = rand(possibletarget);,,REQUIRE6|REQUIRE6,,PINK,change_power,,,,0,NO,NO,excludefromrandomlists|tarot|excludefromjester,1,,,,,,,,,,,
Safety Goggles,Block all self-inflicted|damage on this turn,Terry,Protecc,1,inflictself(~blockall~); sfx(~_shield~);,Pillow Fort,ODD,,ORANGE,simplify,complicate,,,0,YES,NO,,,,,,,,,,,,,
Code Spaghetti,Do [sword]4 damage|Heal [heal]2 HP|[80%][gray]Somehow kept hot and fresh...?[]|,Trobby,Loud Bird damage,2,attack(4); sfxdamage(self|9999); boomerang(-2);,Health Pack,ODD,,ORANGE,simplify,complicate,,,2,NO,NO,,,,,,,,,,,,,
Bingo Blaster,Do [sword]<d6> damage|+3 to jackpot range,Lub of Wibi,shitty name,1,attack(d); sfxdamage(target|d); sfx(~_plasma~); if(!simulation) { if(self.usecpuinsteadofdice) { self.roll_range += 3; adjustrobotcounter(0); } },The Sacrifice,MAX5,,YELLOW,change_power,change_power,,,0,NO,NO,robotonly,,,,,,,,,,,,if(!simulation) { if(self.usecpuinsteadofdice) { self.roll_range += 3; adjustrobotcounter(0); } }
Bingo Blaster_upgraded,Do [sword]<d6> damage|+5 to jackpot range,Lub of Wibi,,1,attack(d); sfxdamage(target|d); sfx(~_plasma~); if(!simulation) { if(self.usecpuinsteadofdice) { self.roll_range += 5; adjustrobotcounter(0); } },The Sacrifice,MAX5,,YELLOW,,,,,0,NO,NO,robotonly,,,,,,,,,,,,if(!simulation) { if(self.usecpuinsteadofdice) { self.roll_range += 5; adjustrobotcounter(0); } }
Bingo Blaster_downgraded,Do [sword]<d6> damage|+1 to jackpot range,Lub of Wibi,,1,attack(d); sfxdamage(target|d); sfx(~_plasma~); if(!simulation) { if(self.usecpuinsteadofdice) { self.roll_range += 1; adjustrobotcounter(0); } },The Sacrifice,MAX5,,YELLOW,,,,,0,NO,NO,robotonly,,,,,,,,,,,,if(!simulation) { if(self.usecpuinsteadofdice) { self.roll_range += 1; adjustrobotcounter(0); } }
tracem,test|,Lub of Wibi,,1,for(eq in self.equipment) { trace(eq.name); trace(eq.equipmentpanel.name); } trace(~---~); trace(self.getskillcard().name); trace(self.getskillcard().equipmentpanel.name);,,NORMAL,,,,,,,-1,YES,NO,excludefromrandomlists|testitem,,,,,,,,,,,,
Sorry Nothing,:(,Lub of Wibi,,1,,Broken Gadget,,,,,,,,0,YES,NO,excludefromrandomlists|internal,,,,,,,,,,,,
Page Down,Visit next page of|jackpot rewards for free,Lub of Wibi,,1,resetjackpot(self); self.roll_jackpotbonus += 1; self.setvar('jackpotchecked'|false); setvar('skillpage'|self.getvar('skillpage') + 1);,Infinity Mirror,ODD,,YELLOW,change_power,complicate,,,,YES,NO,robotonly,,,,,,,,,,,,
Page Down_upgraded,Visit next page of|jackpot rewards for free|,Lub of Wibi,,1,resetjackpot(self); self.roll_jackpotbonus += 1; self.setvar('jackpotchecked'|false); setvar('skillpage'|self.getvar('skillpage') + 1);,Infinity Mirror,ODD,,YELLOW,,,,,2,YES,NO,robotonly,,,,,,,,,,,,
Knife Blank,Do [sword]<d6> damage,Dummy,keymaster lockpicked a wrong door,1,attack(d);sfxdamage(target|d);,Magic Dice,NORMAL,,RED,add1,decreaserange,,,0,NO,NO,,,,,,,,,,,,,
Lock 2@knifeblank,Unlocks Knife Blank[;]|return the dice,Dummy,keymaster lockpicked a wrong door,1,if(simulation) giveequipment(~Knife Blank~|true|false|e); else {var unlockedeq = new elements.Equipment(~Knife Blank~|e.upgraded # e.originallyupgraded);if(e.namemodifier == ~-~){unlockedeq.downgrade();}unlockedeq.scriptendturn += ~if(target.hp > 0) {e.setvar(\~alreadytransformed\~|true);_internalexchangeequipment(self| e| new elements.Equipment(\~Lock 2@knifeblank\~|e.upgraded # e.originallyupgraded)| -1);self.equipment.remove(e);}~;unlockedeq.scriptaftercombat += ~if(!e.gamevar.exists(\~alreadytransformed\~)) {_internalexchangeequipment(self| e| new elements.Equipment(\~Lock 2@knifeblank\~|e.upgraded # e.originallyupgraded)| -1);self.equipment.remove(e);}~;_internalexchangeequipment(self| e| unlockedeq| -1);}var dice = [];for(mydice in e.assigneddice){if(mydice != null && mydice.basevalue != null){dice.push(mydice.basevalue);}}givedice(dice);,Magic Dice,REQUIRE2,,GRAY,change_power,change_power,,,0,YES,NO,excludefromrandomlists|cannotreuse|curseavoid,,,,,,,,,delay(1.0);,,e.preventdefault = true; e.maintainfury = true;,
Lock 2@knifeblank_upgraded,Unlocks Knife Blank+[;]|return the dice,Dummy,keymaster lockpicked a wrong door,1,if(simulation) giveequipment(~Knife Blank+~|true|false|e); else {var unlockedeq = new elements.Equipment(~Knife Blank~|e.upgraded # e.originallyupgraded);if(e.namemodifier == ~-~){unlockedeq.downgrade();}unlockedeq.scriptendturn += ~if(target.hp > 0) {e.setvar(\~alreadytransformed\~|true);_internalexchangeequipment(self| e| new elements.Equipment(\~Lock 2@knifeblank\~|e.upgraded # e.originallyupgraded)| -1);self.equipment.remove(e);}~;unlockedeq.scriptaftercombat += ~if(!e.gamevar.exists(\~alreadytransformed\~)) {_internalexchangeequipment(self| e| new elements.Equipment(\~Lock 2@knifeblank\~|e.upgraded # e.originallyupgraded)| -1);self.equipment.remove(e);}~;_internalexchangeequipment(self| e| unlockedeq| -1);}var dice = [];for(mydice in e.assigneddice){if(mydice != null && mydice.basevalue != null){dice.push(mydice.basevalue);}}givedice(dice);,Magic Dice,REQUIRE2,,GRAY,change_power,change_power,,,0,YES,YES,excludefromrandomlists|cannotreuse|curseavoid,,,,,,,,,delay(1.0);,,e.preventdefault = true; e.maintainfury = true;,
Lock 2@knifeblank_downgraded,Unlocks Knife Blank-[;]|return the dice,Dummy,keymaster lockpicked a wrong door,1,if(simulation) giveequipment(~Knife Blank~|true|false|e); else {var unlockedeq = new elements.Equipment(~Knife Blank~|e.upgraded # e.originallyupgraded);if(e.namemodifier == ~-~){unlockedeq.downgrade();}unlockedeq.scriptendturn += ~if(target.hp > 0) {e.setvar(\~alreadytransformed\~|true);_internalexchangeequipment(self| e| new elements.Equipment(\~Lock 2@knifeblank\~|e.upgraded # e.originallyupgraded)| -1);self.equipment.remove(e);}~;unlockedeq.scriptaftercombat += ~if(!e.gamevar.exists(\~alreadytransformed\~)) {_internalexchangeequipment(self| e| new elements.Equipment(\~Lock 2@knifeblank\~|e.upgraded # e.originallyupgraded)| -1);self.equipment.remove(e);}~;_internalexchangeequipment(self| e| unlockedeq| -1);unlockedeq.temporary_thisturnonly = true;}var dice = [];for(mydice in e.assigneddice){if(mydice != null && mydice.basevalue != null){dice.push(mydice.basevalue);}}givedice(dice);,Magic Dice,REQUIRE2,,GRAY,change_power,change_power,,,0,YES,YES,excludefromrandomlists|cannotreuse|curseavoid,,,,,,,,,delay(1.0);,,e.preventdefault = true; e.maintainfury = true;,
Trusty Key,Split dice[;] reroll on 1|[gray](Reuseable),Dummy,keymaster lockpicked a wrong door,2,if(d == 1){if(!simulation) {givedice();} else {var bon = 0;for(eq in self.equipment){if(eq.name == ~Knife Blank~ && eq.ready){bon += 1000;}} bonus(bon);}}else{if(simulation) givedice([d/2|d-1]); else givedice(split(d)|~splitdice~);},Magic Dice,NORMAL,,GRAY,change_power,change_power,,,2,YES,NO,excludefromrandomlists,,,,,,,,,,,,
Trusty Key_upgraded,Split dice[;] reroll on 1|[gray](Reuseable),Dummy,keymaster lockpicked a wrong door,2,if(d == 1){if(!simulation) {givedice();} else {var bon = 0;for(eq in self.equipment){if(eq.name == ~Knife Blank~ && eq.ready){bon += 1000);}} bonus(bon);}}else{if(simulation) givedice([d/2|d-1]); else givedice(split(d)|~splitdice~);},Magic Dice,NORMAL,,GRAY,change_power,change_power,,,3,YES,NO,excludefromrandomlists,,,,,,,,,,,,
Trusty Key_downgraded,Split a dice in two|[gray](Reuseable),Dummy,keymaster lockpicked a wrong door,2,if(simulation) givedice([d/2|d-1]); else givedice(split(d)|~splitdice~);,Magic Dice,MIN2,,GRAY,change_power,change_power,,,2,YES,NO,excludefromrandomlists,,,,,,,,,,,,
Lock 1@knifeblank,Unlocks Knife Blank[;]|return the dice,Dummy,keymaster lockpicked a wrong door,1,if(simulation) giveequipment(~Knife Blank~|true|false|e); else {var unlockedeq = new elements.Equipment(~Knife Blank~|e.upgraded # e.originallyupgraded);if(e.namemodifier == ~-~){unlockedeq.downgrade();}unlockedeq.scriptendturn += ~if(target.hp > 0) {e.setvar(\~alreadytransformed\~|true);_internalexchangeequipment(self| e| new elements.Equipment(\~Lock 1@knifeblank\~|e.upgraded # e.originallyupgraded)| -1);self.equipment.remove(e);}~;unlockedeq.scriptaftercombat += ~if(!e.gamevar.exists(\~alreadytransformed\~)) {_internalexchangeequipment(self| e| new elements.Equipment(\~Lock 1@knifeblank\~|e.upgraded # e.originallyupgraded)| -1);self.equipment.remove(e);}~;_internalexchangeequipment(self| e| unlockedeq| -1);}var dice = [];for(mydice in e.assigneddice){if(mydice != null && mydice.basevalue != null){dice.push(mydice.basevalue);}}givedice(dice);bonus(1000);,Magic Dice,REQUIRE1,,GRAY,change_power,change_power,,,0,YES,YES,excludefromrandomlists|cannotreuse|curseavoid,,,,,,,,,delay(1.0);,,e.preventdefault = true; e.maintainfury = true;,
Lock 1@knifeblank_upgraded,Unlocks Knife Blank+[;]|return the dice,Dummy,keymaster lockpicked a wrong door,1,if(simulation) giveequipment(~Knife Blank+~|true|false|e); else {var unlockedeq = new elements.Equipment(~Knife Blank~|e.upgraded # e.originallyupgraded);if(e.namemodifier == ~-~){unlockedeq.downgrade();}unlockedeq.scriptendturn += ~if(target.hp > 0) {e.setvar(\~alreadytransformed\~|true);_internalexchangeequipment(self| e| new elements.Equipment(\~Lock 1@knifeblank\~|e.upgraded # e.originallyupgraded)| -1);self.equipment.remove(e);}~;unlockedeq.scriptaftercombat += ~if(!e.gamevar.exists(\~alreadytransformed\~)) {_internalexchangeequipment(self| e| new elements.Equipment(\~Lock 1@knifeblank\~|e.upgraded # e.originallyupgraded)| -1);self.equipment.remove(e);}~;_internalexchangeequipment(self| e| unlockedeq| -1);}var dice = [];for(mydice in e.assigneddice){if(mydice != null && mydice.basevalue != null){dice.push(mydice.basevalue);}}givedice(dice);bonus(1000);,Magic Dice,REQUIRE1,,GRAY,change_power,change_power,,,0,YES,YES,excludefromrandomlists|cannotreuse|curseavoid,,,,,,,,,delay(1.0);,,e.preventdefault = true; e.maintainfury = true;,
Lock 1@knifeblank_downgraded,Unlocks Knife Blank-[;]|return the dice,Dummy,keymaster lockpicked a wrong door,1,if(simulation) giveequipment(~Knife Blank~|true|false|e); else {var unlockedeq = new elements.Equipment(~Knife Blank~|e.upgraded # e.originallyupgraded);if(e.namemodifier == ~-~){unlockedeq.downgrade();}unlockedeq.scriptendturn += ~if(target.hp > 0) {e.setvar(\~alreadytransformed\~|true);_internalexchangeequipment(self| e| new elements.Equipment(\~Lock 1@knifeblank\~|e.upgraded # e.originallyupgraded)| -1);self.equipment.remove(e);}~;unlockedeq.scriptaftercombat += ~if(!e.gamevar.exists(\~alreadytransformed\~)) {_internalexchangeequipment(self| e| new elements.Equipment(\~Lock 1@knifeblank\~|e.upgraded # e.originallyupgraded)| -1);self.equipment.remove(e);}~;_internalexchangeequipment(self| e| unlockedeq| -1);}var dice = [];for(mydice in e.assigneddice){if(mydice != null && mydice.basevalue != null){dice.push(mydice.basevalue);}}givedice(dice);bonus(1000);,Magic Dice,REQUIRE1,,GRAY,change_power,change_power,,,0,YES,YES,excludefromrandomlists|cannotreuse|curseavoid,,,,,,,,,delay(1.0);,,e.preventdefault = true; e.maintainfury = true;,
One Shot,Do [sword]<d6> damage[;]|inflict [one]1,Dummy,based on one of wibi's suggestions for tennis,1,attack(d);sfxdamage(target|d);inflict(~one~);sfx(~_ice~|~~|0.2);,Refrigerator,ODD,,ORANGE,simplify,complicate,,,0,NO,NO,excludefromrandomlists,,,,,,,,,,,,
Giant Spike,Do [sword]<sextuple> damage,dummy,,2,attack(d*6);sfxdamage(target|d*6);sfx(~_metals~);,Accelerate,REQUIRE1|REQUIRE1,,RED,change_power,change_power,,,0,NO,NO,excludefromrandomlists,,,,,,,,,,,,
Giant Spike_upgraded,Do [sword]<sextuple> damage,dummy,,2,attack(d*6);sfxdamage(target|d*6);sfx(~_metals~);,Accelerate,REQUIRE2,,RED,change_power,change_power,,,0,NO,NO,excludefromrandomlists,,,,,,,,,,,,
Giant Spike_downgraded,Do [sword]<sextuple> damage,dummy,,2,attack(d*6);sfxdamage(target|d*6);sfx(~_metals~);,Accelerate,REQUIRE1,,RED,change_power,change_power,,,0,NO,NO,excludefromrandomlists,,,,,,,,,,,,
Combicep Curl,Dice value +1...[newline][gray](Reuseable),Dummy,tweaks???????????????????????????????????,2,var item = e; if(e.sourceequipment != null) item = e.sourceequipment; var polarity = (item.fulldescription.indexOf(~+~) > -1); if((e.usesleft <= 0)?polarity:!polarity) { givedice(d+1); } else { if(d > 1) givedice(d - 1); },Megabump,NORMAL,,GRAY,,,,,3,YES,NO,cannotsteal|excludefromrandomlists,,,,if(e.timesused % 2 == 1) e.fulldescription = (e.fulldescription.split(~+~).join(~-~)); else e.fulldescription = (e.fulldescription.split(~-~).join(~+~));,,,,,if(e.usesleft > 1){ var skill = new elements.DiceyScript(~var polarity = (e.fulldescription.indexOf(\~+\~) > -1); if(polarity) {e.fulldescription = (e.fulldescription.split(\~+\~).join(\~-\~));} else {e.fulldescription = (e.fulldescription.split(\~-\~).join(\~+\~));} ~); skill.set(~e~|e); skill.set(~e.getslots~|e.getslots()); skill.set(~e.changeslots~|e.changeslots); var tw = new motion.actuators.SimpleActuator(null|1/60|null); tw.onComplete(skill.execute|[self|target]); tw.move(); },,,
Scissor Rock,Do [sword]3 damage[;]|split value in two,dummy,okay okay the next one is better,1,attack(3); sfxdamage(target|3); if(d > 1) givedice(d / 2);,Magic Lockpick,MAX4,,GRAY,simplify,decreaserange,,,0,NO,NO,,,,,,,,,,,,,
Cantrip Eyes,Whenever you roll a 1[;]|lock [lock]1 dice,dummy,:smore:,2,inflict(LOCK);sfx(~_lock~|~~|0.2);,Confiscate,,,YELLOW,change_power,change_power,,,-1,NO,NO,cannotsteal|hidereuseable|curseavoid|cannotreuse|excludefromrandomlists,,,,inflictself(~cantrips_eyes~);,,,,,,,e.preventdefault = true; e.maintainfury = true;,
Cantrip Eyes_upgraded,Whenever you roll a 1 or 2[;]|lock [lock]1 dice,dummy,:smore:,2,inflict(LOCK);sfx(~_lock~|~~|0.2);,Confiscate,,,YELLOW,change_power,change_power,,,-1,NO,NO,cannotsteal|hidereuseable|curseavoid|cannotreuse|excludefromrandomlists,,,,inflictself(~cantrips_eyes+~);,,,,,,,e.preventdefault = true; e.maintainfury = true;,
Cantrip Eyes_downgraded,If you roll a 1[;]|lock [lock]1 dice,dummy,:smore:,2,inflict(LOCK);sfx(~_lock~|~~|0.2);,Confiscate,,,YELLOW,change_power,change_power,,,0,NO,NO,cannotsteal|hidereuseable|curseavoid|cannotreuse|excludefromrandomlists,,,,inflictself(~cantrips_eyes~);,,,,,,,e.preventdefault = true; e.maintainfury = true;,
BBB,BBB BBB,dummy,:b:,2,inflict(~bbb~|2);sfx(~_fire~|~~|0.2);,Ember,REQUIRE2,,GRAY,simplify,doublerequirements,,,0,NO,NO,,,,,,,,,,,,,
Screams of Agony,Do [sword]<d6> damage[;]|on 6[;] inflict [scorch]2 scorch,dummy,scorch hammerlike for banshee alt,2,attack(d);sfxdamage(target|d);if(actualdice[0].basevalue == 6){inflict(~scorch~|2);sfx(~_fire~|~~|0.2);},Blowtorch,NORMAL,,YELLOW,add1,change_power,,,0,NO,NO,,,,,,,,,,,,,
Screams of Agony_downgraded,Do [sword]<d6> damage[;]|on 6[;] inflict [scorch]1 scorch,dummy,scorch hammerlike for banshee alt,2,attack(d);sfxdamage(target|d);if(actualdice[0].basevalue == 6){inflict(~scorch~|1);sfx(~_fire~|~~|0.2);},Blowtorch,NORMAL,,YELLOW,add1,change_power,,,0,NO,NO,,,,,,,,,,,,,
Ball A,Do [sword]<d6> damage[;]|inflict [caw]AAA,dummy,aaa snowballlike,1,attack(d);sfxdamage(target|d);inflict(~aaa~);sfx(~_ice~|~~|0.2);,Refrigerator,ODD,,GRAY,add1,complicate,,,0,NO,NO,,,,,,,,,,,,,
Ball B,Do [sword]<d6> damage[;]|inflict [caw]BBB,dummy,bbb fireballlike,1,attack(d);sfxdamage(target|d);inflict(~bbb~);sfx(~_fire~|~~|0.2);,Ember,EVEN,,GRAY,add1,complicate,,,0,NO,NO,,,,,,,,,,,,,
Pie,Inflict [blind]1 and do [sword]2[;]|roll a new dice,Dee,haha pie rat,1,inflict(BLIND); sfx(~_blind~|~~|0.2); attack(2); sfxdamage(target|2); givedice(); ,Oh No!,COUNTDOWN,5,PURPLE,change_power,change_power,,,0,NO,NO,,,,,,,,,,,,,
Pie_downgraded,Inflict [blind]1[;]|roll a new dice,Dee,,1,inflict(BLIND); sfx(~_blind~|~~|0.2); givedice(); ,Oh No!,COUNTDOWN,5,PURPLE,,,,,0,NO,NO,,,,,,,,,,,,,
Pie_upgraded,Inflict [blind]1 and do [sword]4[;]|roll a new dice,Dee,,1,inflict(BLIND); sfx(~_blind~|~~|0.2); attack(2); sfxdamage(target|2); givedice(); ,Oh No!,COUNTDOWN,5,PURPLE,,,,,0,NO,NO,,,,,,,,,,,,,
Overwedge,Do [sword]<d6> damage|On 6[;] +[sword]<timesused> damage[;]|+1 each use,Dee,like nine iron but overclock. a wedge is also a type of golf club,2,if(d == 6) {attack(d+e.timesused+1); sfxdamage(target|d+e.timesused+1);} else {attack(d); sfxdamage(target|d+e.timesused);},Catapult,NORMAL,,RED,change_power,change_power,,,0,NO,NO,,,,,,,,,,,,,
Overwedge_upgraded,Do [sword]<d6> damage|On even[;] +[sword]<timesused> damage[;]|+1 each use,Dee,,2,if(d % 2 != 1) {attack(d+e.timesused+1); sfxdamage(target|d+e.timesused+1);} else {attack(d); sfxdamage(target|d+e.timesused);},Catapult,NORMAL,,RED,,,,,0,NO,NO,,,,,,,,,,,,,
Overwedge_downgraded,Do [sword]<d6> damage|On 6[;] +[sword]1 damage,Dee,,2,if(d == 6) {attack(d+1); sfxdamage(target|d+1);} else {attack(d); sfxdamage(target|d+e.timesused);},Catapult,NORMAL,,RED,,,,,0,NO,NO,,,,,,,,,,,,,
Boiling Cauldron,Take [fire]2 damage[;]|get 2 new dice,Wibi,Taken from ncrmod,1,attackself(2|FIRE); sfxdamage(self|2); sfx(~_fire~); givedice([for(i in 0...2) rand([1|2|3|4|5|6])]);,Oh Shit!,NORMAL,,RED,change_power,change_power,,,0,YES,NO,,1,,,,,,,,,,,
Boiling Cauldron_upgraded,Take [fire]3 damage[;]|get 3 new dice,Wibi,Taken from ncrmod,1,attackself(3|FIRE); sfxdamage(self|3); sfx(~_fire~); givedice([for(i in 0...3) rand([1|2|3|4|5|6])]);,Oh Shit!,NORMAL,,RED,,,,,0,YES,NO,,,,,,,,,,,,,
Boiling Cauldron_downgraded,Take [fire]1 damage[;]|get a new dice,Wibi,Taken from ncrmod,1,attackself(1|FIRE); sfxdamage(self|1); sfx(~_fire~); givedice();,Oh Shit!,NORMAL,,RED,,,,,0,YES,NO,,,,,,,,,,,,,
Innovate,Get a dice you don't have,Wibi,Taken from ncrmod,1,var notseen = [1|2|3|4|5|6]; notseen.remove(d); for (mydice in self.dicepool){ if (mydice.available() && notseen[notseen.indexOf(mydice.basevalue)] != null) {notseen.remove(mydice.basevalue);} } if (notseen.length == 0) {givedice(d); self.textparticle(~You've got all dice!~);} else { shuffle(notseen); givedice(notseen[0]); },Reroll,NORMAL,,GREEN,change_power,change_power,,,0,YES,NO,,1,,,,,,,,,,,
Innovate_upgraded,Get a dice you don't have|,Wibi,Taken from ncrmod,1,var notseen = [1|2|3|4|5|6]; notseen.remove(d); for (mydice in self.dicepool){ if (mydice.available() && notseen[notseen.indexOf(mydice.basevalue)] != null) {notseen.remove(mydice.basevalue);} } if (notseen.length == 0) {givedice(d); self.textparticle(~You've got all dice!~);} else { shuffle(notseen); givedice(notseen[0]); },Reroll,NORMAL,,GREEN,,,,,2,YES,NO,,,,,,,,,,,,,
Innovate_downgraded,Get a 4[;] if you don't have one,Wibi,Taken from ncrmod,1,var flag = true; for (mydice in self.dicepool){ if (mydice.available() && mydice.basevalue == 4) {flag = false; } } if (flag == false) {givedice(d); self.textparticle(~You've got a 4!~);} else { givedice(4); },Reroll,NORMAL,,GREEN,,,,,0,YES,NO,,,,,,,,,,,,,
S[d6][gold]wScr downgrad,pg|Wave_uo<flipd6>[fire][blind]7|(u:0Burn v[fire]8f|w !$p6 differ|[;] bump dp|ds of Wint|PW/!maEnemy[;] but [sword]3|de%do!Squ1d,Trobby,The Stars but uses error pool instead,2,/* stolen from tennis! shouts to paul (who's paul?) */ if(simulation){ bonus(1000); }else{ var newThing = rand(loadtext(~quickmod/errorstatusreplacements~)); trace(newThing); var newEq = new elements.Equipment(newThing); newEq.x = e.x; newEq.y = e.y; newEq.temporary_thisturnonly = true; newEq.equippedby = self; newEq.resize(2); self.equipment.push(newEq); runscript(~ncrmod/snap~|[newEq|true|0|self|target]); sfx(~jester_snap~); target.textparticle(~Null Object Reference!~); e.assigneddice[0].dicealpha = 0; e.show = false; e.ready = false; newEq.show = false; newEq.ready = false; },Infinity Mirror,NORMAL,,GRAY,reducesize,complicate,,,0,NO,NO,excludefromrandomlists|curseavoid|hidereusable,,,,,,,,,,,,
T4uu[big]mqZ)$[poison]7 QPW!MA[small]tion down[huge]You receive a dice!5yyUm[lessthan]U[mana]gold[medium]POG 5D9xJ,mage[mana] Ike|Do [sword]BlF9F9F9%'7&[big]You know[; if you stop fighting against me and start|working really hard on being a good minion...|ck: [quote]warrior.pc|[medium]ÿÿÿÿ[sword][fire][ice][weaken][shock][poison][small]Put your hands together|Put your hands together|I need stronger weapons!null,Trobby,Like above but reusable,2,/* stolen from tennis! shouts to paul (who's paul?) */ if(simulation){ bonus(1000); }else{ var newThing = rand(loadtext(~quickmod/errorstatusreplacements~)); trace(newThing); var newEq = new elements.Equipment(newThing); newEq.x = e.x; newEq.y = e.y; newEq.temporary_thisturnonly = true; newEq.equippedby = self; newEq.resize(2); self.equipment.push(newEq); runscript(~ncrmod/snap~|[newEq|true|0|self|target]); sfx(~jester_snap~); target.textparticle(~Null Object Reference!~); e.assigneddice[0].dicealpha = 0; e.show = false; e.ready = false; newEq.show = false; newEq.ready = false; },Infinity Mirror,EVEN,,GRAY,reducesize,complicate,,,-1,NO,NO,excludefromrandomlists|curseavoid|hidereusable,,,,,,,,,,,,
Constellation,Very mysterious|[80%][gray]May you find your purpose[]|,Trobby,Reusable stars,2,/* stolen from tennis! shouts to paul (who's paul?) */ if(simulation){ bonus(1000); }else{ var newThing = rand(loadtext(~diceydungeons/mysterybox~)); trace(newThing); var newEq = new elements.Equipment(newThing); newEq.x = e.x; newEq.y = e.y; newEq.temporary_thisturnonly = true; newEq.equippedby = self; newEq.resize(2); self.equipment.push(newEq); runscript(~ncrmod/snap~|[newEq|true|0|self|target]); sfx(~jester_snap~); target.textparticle(newThing+~!~); e.assigneddice[0].dicealpha = 0; e.show = false; e.ready = false; newEq.show = false; newEq.ready = false; },Steal,NORMAL,,YELLOW,change_power,change_power,,,-1,NO,NO,excludefromrandomlists|tarot|curseavoid,1,,,,,,,,,,,
